name,url
Betsy Baker,https://gerontology.fandom.com/wiki/Betsy_Baker
Jennie Howell,https://gerontology.fandom.com/wiki/Jennie_Howell
Anne Marie Carstenson,https://gerontology.fandom.com/wiki/Marie_Carstenson
Nancy Ryan,https://gerontology.fandom.com/wiki/Nancy_Ryan
Christina Karnebeek-Backs,https://gerontology.fandom.com/wiki/Christina_Karnebeek-Backs
Marie Olsen,https://gerontology.fandom.com/wiki/Marie_Olsen
Mary Kelly,https://gerontology.fandom.com/wiki/Mary_Kelly
Elizabeth Kensley,https://gerontology.fandom.com/wiki/Elizabeth_Kensley
William Fullingim,https://gerontology.fandom.com/wiki/William_Fullingim
Hannah Smith,https://gerontology.fandom.com/wiki/Hannah_Smith
John Turner,https://gerontology.fandom.com/wiki/John_Mosley_Turner
Johanna Booysen,https://gerontology.fandom.com/wiki/Johanna_Booysen
Marie Bernatkova,https://gerontology.fandom.com/wiki/Marie_Bernatkova
Ada Roe,https://gerontology.fandom.com/wiki/Ada_Roe
Josefa Salas Mateo,https://gerontology.fandom.com/wiki/Josefa_Salas_Mateo
Alice Stevenson,https://gerontology.fandom.com/wiki/Alice_Stevenson
Elizabeth Watkins,https://gerontology.fandom.com/wiki/Elizabeth_Watkins
Mito Umeta,https://gerontology.fandom.com/wiki/Mito_Umeta
Niwa Kawamoto,https://gerontology.fandom.com/wiki/Niwa_Kawamoto
Sophia De Muth,https://gerontology.fandom.com/wiki/Sophia_DeMuth
Marie-Virginie Duhem,https://gerontology.fandom.com/wiki/Marie-Virginie_Duhem
Fannie Thomas,https://gerontology.fandom.com/wiki/Fannie_Thomas
Augustine Teissier,https://gerontology.fandom.com/wiki/Augustine_Tessier
Nellie Spencer,https://gerontology.fandom.com/wiki/Nellie_Spencer
Emma Wilson,https://gerontology.fandom.com/wiki/Emma_Wilson
Mathew Beard,https://gerontology.fandom.com/wiki/Mathew_Beard
Augusta Holtz,https://gerontology.fandom.com/wiki/Augusta_Holtz
Mary McKinney,https://gerontology.fandom.com/wiki/Mary_McKinney
Anna Eliza Williams,https://gerontology.fandom.com/wiki/Anna_Eliza_Williams
Florence Knapp,https://gerontology.fandom.com/wiki/Florence_Knapp
Jeanne Calment,https://gerontology.fandom.com/wiki/Jeanne_Calment
Marie-Louise Meilleur,
Sarah Knauss,
Eva Morris,
Marie Bremont,
Maud Farris-Luse,
Grace Clawson,
Adelina Domingues,
Mae Harrington,
Yukichi Chuganji,
Mitoyo Kawate,
Ramona Trinidad Iglesias-Jordan,
Maria Esther de Capovilla,
Elizabeth Bolden,
Emiliano Mercado Del Toro,
Emma Tillman,
Yone Minagawa,
Edna Parker,
Maria de Jesus,
Gertrude Baines,
Kama Chinen,
Eugenie Blanchard,
Maria Gomes Valentim,
Besse Cooper,
Dina Manfredini,
Jiroemon Kimura,
Misao Okawa,
Gertrude Weaver,
Jeralean Talley,
Susannah Mushatt Jones,
Emma Morano,
Violet Brown,
Nabi Tajima,
Chiyo Miyako,
Kane Tanaka,
Lucile Randon,
